network_id,station_id,path
ASOSAWOS,ASOSAWOS_72382023182,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72382023182.zarr/
ASOSAWOS,ASOSAWOS_72382523131,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72382523131.zarr/
ASOSAWOS,ASOSAWOS_72383023187,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72383023187.zarr/
ASOSAWOS,ASOSAWOS_72384023155,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72384023155.zarr/
ASOSAWOS,ASOSAWOS_72386023169,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72386023169.zarr/
ASOSAWOS,ASOSAWOS_72387003160,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72387003160.zarr/
ASOSAWOS,ASOSAWOS_72389093193,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72389093193.zarr/
ASOSAWOS,ASOSAWOS_72389523149,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72389523149.zarr/
ASOSAWOS,ASOSAWOS_72389693144,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72389693144.zarr/
ASOSAWOS,ASOSAWOS_72389723167,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72389723167.zarr/
ASOSAWOS,ASOSAWOS_72389853119,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72389853119.zarr/
ASOSAWOS,ASOSAWOS_72390093226,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72390093226.zarr/
ASOSAWOS,ASOSAWOS_72391093111,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72391093111.zarr/
ASOSAWOS,ASOSAWOS_72392523190,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72392523190.zarr/
ASOSAWOS,ASOSAWOS_72392623136,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72392623136.zarr/
ASOSAWOS,ASOSAWOS_72392793110,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72392793110.zarr/
ASOSAWOS,ASOSAWOS_72393093214,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72393093214.zarr/
